timestamp_unix,token,pos,dim,hidden_dim,n_heads,n_kv_heads,rms_att_ms,qkv_ms,rope_kvcache_ms,cpu_attn_ms,h2d_out_proj_res_ms,rms_ffn_ms,ffn_w1w3_ms,swiglu_w2_ms,total_layer_ms,est_32_layer_ms,est_tok_s
1778378999,3942,10,4096,11008,32,32,0.029696,0.982016,0.096002,0.042051,0.348192,0.028672,0.852992,0.887808,3.267429,104.557732,9.564095
1778379205,4257,10,4096,11008,32,32,0.032768,0.983040,0.093433,0.044501,0.350048,0.031744,0.852992,0.889856,3.278382,104.908218,9.532142
1778357668,1559,10,4096,11008,32,32,0.032768,0.983040,0.122936,0.068225,0.353888,0.034816,0.851968,0.888832,3.336473,106.767136,9.366178
1778359243,1559,10,4096,11008,32,32,0.031744,0.979968,0.123022,0.075512,0.357952,0.034816,0.851968,0.888832,3.343814,107.002045,9.345615
1778365162,3304,50,4096,11008,32,32,0.033792,0.982016,0.119932,0.422127,0.357536,0.036864,0.852992,0.884736,3.689995,118.079842,8.468846
1778378526,1559,10,4096,11008,32,32,0.033792,0.998400,0.095782,0.039101,0.349472,0.031744,0.860160,0.891904,3.300355,105.611359,9.468678
1778378768,390,10,4096,11008,32,32,0.047104,0.988160,0.142008,0.096588,0.363488,0.043008,0.858112,0.901120,3.439588,110.066811,9.085391
1778378999,3942,10,4096,11008,32,32,0.029696,0.982016,0.096002,0.042051,0.348192,0.028672,0.852992,0.887808,3.267429,104.557732,9.564095
1778379205,4257,10,4096,11008,32,32,0.032768,0.983040,0.093433,0.044501,0.350048,0.031744,0.852992,0.889856,3.278382,104.908218,9.532142
1778379436,4312,10,4096,11008,32,32,0.036864,0.990208,0.139158,0.079799,0.356000,0.039936,0.864256,0.886784,3.393005,108.576164,9.210125
1778357668,1559,10,4096,11008,32,32,0.032768,0.983040,0.122936,0.068225,0.353888,0.034816,0.851968,0.888832,3.336473,106.767136,9.366178
1778359243,1559,10,4096,11008,32,32,0.031744,0.979968,0.123022,0.075512,0.357952,0.034816,0.851968,0.888832,3.343814,107.002045,9.345615
1778365162,3304,50,4096,11008,32,32,0.033792,0.982016,0.119932,0.422127,0.357536,0.036864,0.852992,0.884736,3.689995,118.079842,8.468846
1778378526,1559,10,4096,11008,32,32,0.033792,0.998400,0.095782,0.039101,0.349472,0.031744,0.860160,0.891904,3.300355,105.611359,9.468678
1778378768,390,10,4096,11008,32,32,0.047104,0.988160,0.142008,0.096588,0.363488,0.043008,0.858112,0.901120,3.439588,110.066811,9.085391
1778378999,3942,10,4096,11008,32,32,0.029696,0.982016,0.096002,0.042051,0.348192,0.028672,0.852992,0.887808,3.267429,104.557732,9.564095
1778379205,4257,10,4096,11008,32,32,0.032768,0.983040,0.093433,0.044501,0.350048,0.031744,0.852992,0.889856,3.278382,104.908218,9.532142
1778379436,4312,10,4096,11008,32,32,0.036864,0.990208,0.139158,0.079799,0.356000,0.039936,0.864256,0.886784,3.393005,108.576164,9.210125
1778379668,3304,50,4096,11008,32,32,0.030720,0.987136,0.090740,0.208392,0.346464,0.029696,0.852992,0.889856,3.435996,109.951874,9.094888
1778357668,1559,10,4096,11008,32,32,0.032768,0.983040,0.122936,0.068225,0.353888,0.034816,0.851968,0.888832,3.336473,106.767136,9.366178
1778359243,1559,10,4096,11008,32,32,0.031744,0.979968,0.123022,0.075512,0.357952,0.034816,0.851968,0.888832,3.343814,107.002045,9.345615
1778365162,3304,50,4096,11008,32,32,0.033792,0.982016,0.119932,0.422127,0.357536,0.036864,0.852992,0.884736,3.689995,118.079842,8.468846
1778378526,1559,10,4096,11008,32,32,0.033792,0.998400,0.095782,0.039101,0.349472,0.031744,0.860160,0.891904,3.300355,105.611359,9.468678
1778378768,390,10,4096,11008,32,32,0.047104,0.988160,0.142008,0.096588,0.363488,0.043008,0.858112,0.901120,3.439588,110.066811,9.085391
1778378999,3942,10,4096,11008,32,32,0.029696,0.982016,0.096002,0.042051,0.348192,0.028672,0.852992,0.887808,3.267429,104.557732,9.564095
1778379205,4257,10,4096,11008,32,32,0.032768,0.983040,0.093433,0.044501,0.350048,0.031744,0.852992,0.889856,3.278382,104.908218,9.532142
1778379436,4312,10,4096,11008,32,32,0.036864,0.990208,0.139158,0.079799,0.356000,0.039936,0.864256,0.886784,3.393005,108.576164,9.210125
1778379668,3304,50,4096,11008,32,32,0.030720,0.987136,0.090740,0.208392,0.346464,0.029696,0.852992,0.889856,3.435996,109.951874,9.094888
1778379881,1144,50,4096,11008,32,32,0.032768,0.997376,0.097943,0.211225,0.350624,0.036864,0.856064,0.888832,3.471696,111.094269,9.001365
1778357668,1559,10,4096,11008,32,32,0.032768,0.983040,0.122936,0.068225,0.353888,0.034816,0.851968,0.888832,3.336473,106.767136,9.366178
1778359243,1559,10,4096,11008,32,32,0.031744,0.979968,0.123022,0.075512,0.357952,0.034816,0.851968,0.888832,3.343814,107.002045,9.345615
1778365162,3304,50,4096,11008,32,32,0.033792,0.982016,0.119932,0.422127,0.357536,0.036864,0.852992,0.884736,3.689995,118.079842,8.468846
1778378526,1559,10,4096,11008,32,32,0.033792,0.998400,0.095782,0.039101,0.349472,0.031744,0.860160,0.891904,3.300355,105.611359,9.468678
1778378768,390,10,4096,11008,32,32,0.047104,0.988160,0.142008,0.096588,0.363488,0.043008,0.858112,0.901120,3.439588,110.066811,9.085391
1778378999,3942,10,4096,11008,32,32,0.029696,0.982016,0.096002,0.042051,0.348192,0.028672,0.852992,0.887808,3.267429,104.557732,9.564095
1778379205,4257,10,4096,11008,32,32,0.032768,0.983040,0.093433,0.044501,0.350048,0.031744,0.852992,0.889856,3.278382,104.908218,9.532142
1778379436,4312,10,4096,11008,32,32,0.036864,0.990208,0.139158,0.079799,0.356000,0.039936,0.864256,0.886784,3.393005,108.576164,9.210125
1778379668,3304,50,4096,11008,32,32,0.030720,0.987136,0.090740,0.208392,0.346464,0.029696,0.852992,0.889856,3.435996,109.951874,9.094888
1778379881,1144,50,4096,11008,32,32,0.032768,0.997376,0.097943,0.211225,0.350624,0.036864,0.856064,0.888832,3.471696,111.094269,9.001365
1778380139,8112,50,4096,11008,32,32,0.035840,0.987136,0.128118,0.585584,0.354912,0.037888,0.858112,0.901120,3.888710,124.438728,8.036083
1778357668,1559,10,4096,11008,32,32,0.032768,0.983040,0.122936,0.068225,0.353888,0.034816,0.851968,0.888832,3.336473,106.767136,9.366178
1778359243,1559,10,4096,11008,32,32,0.031744,0.979968,0.123022,0.075512,0.357952,0.034816,0.851968,0.888832,3.343814,107.002045,9.345615
1778365162,3304,50,4096,11008,32,32,0.033792,0.982016,0.119932,0.422127,0.357536,0.036864,0.852992,0.884736,3.689995,118.079842,8.468846
1778378526,1559,10,4096,11008,32,32,0.033792,0.998400,0.095782,0.039101,0.349472,0.031744,0.860160,0.891904,3.300355,105.611359,9.468678
1778378768,390,10,4096,11008,32,32,0.047104,0.988160,0.142008,0.096588,0.363488,0.043008,0.858112,0.901120,3.439588,110.066811,9.085391
1778378999,3942,10,4096,11008,32,32,0.029696,0.982016,0.096002,0.042051,0.348192,0.028672,0.852992,0.887808,3.267429,104.557732,9.564095
1778379205,4257,10,4096,11008,32,32,0.032768,0.983040,0.093433,0.044501,0.350048,0.031744,0.852992,0.889856,3.278382,104.908218,9.532142
1778379436,4312,10,4096,11008,32,32,0.036864,0.990208,0.139158,0.079799,0.356000,0.039936,0.864256,0.886784,3.393005,108.576164,9.210125
1778379668,3304,50,4096,11008,32,32,0.030720,0.987136,0.090740,0.208392,0.346464,0.029696,0.852992,0.889856,3.435996,109.951874,9.094888
1778379881,1144,50,4096,11008,32,32,0.032768,0.997376,0.097943,0.211225,0.350624,0.036864,0.856064,0.888832,3.471696,111.094269,9.001365
1778380139,8112,50,4096,11008,32,32,0.035840,0.987136,0.128118,0.585584,0.354912,0.037888,0.858112,0.901120,3.888710,124.438728,8.036083
1778380417,8496,50,4096,11008,32,32,0.036864,0.989184,0.130307,0.466314,0.369088,0.035840,0.862208,0.889856,3.779661,120.949142,8.267938
1778357668,1559,10,4096,11008,32,32,0.032768,0.983040,0.122936,0.068225,0.353888,0.034816,0.851968,0.888832,3.336473,106.767136,9.366178
1778359243,1559,10,4096,11008,32,32,0.031744,0.979968,0.123022,0.075512,0.357952,0.034816,0.851968,0.888832,3.343814,107.002045,9.345615
1778365162,3304,50,4096,11008,32,32,0.033792,0.982016,0.119932,0.422127,0.357536,0.036864,0.852992,0.884736,3.689995,118.079842,8.468846
1778378526,1559,10,4096,11008,32,32,0.033792,0.998400,0.095782,0.039101,0.349472,0.031744,0.860160,0.891904,3.300355,105.611359,9.468678
1778378768,390,10,4096,11008,32,32,0.047104,0.988160,0.142008,0.096588,0.363488,0.043008,0.858112,0.901120,3.439588,110.066811,9.085391
1778378999,3942,10,4096,11008,32,32,0.029696,0.982016,0.096002,0.042051,0.348192,0.028672,0.852992,0.887808,3.267429,104.557732,9.564095
1778379205,4257,10,4096,11008,32,32,0.032768,0.983040,0.093433,0.044501,0.350048,0.031744,0.852992,0.889856,3.278382,104.908218,9.532142
1778379436,4312,10,4096,11008,32,32,0.036864,0.990208,0.139158,0.079799,0.356000,0.039936,0.864256,0.886784,3.393005,108.576164,9.210125
1778379668,3304,50,4096,11008,32,32,0.030720,0.987136,0.090740,0.208392,0.346464,0.029696,0.852992,0.889856,3.435996,109.951874,9.094888
1778379881,1144,50,4096,11008,32,32,0.032768,0.997376,0.097943,0.211225,0.350624,0.036864,0.856064,0.888832,3.471696,111.094269,9.001365
1778380139,8112,50,4096,11008,32,32,0.035840,0.987136,0.128118,0.585584,0.354912,0.037888,0.858112,0.901120,3.888710,124.438728,8.036083
1778380417,8496,50,4096,11008,32,32,0.036864,0.989184,0.130307,0.466314,0.369088,0.035840,0.862208,0.889856,3.779661,120.949142,8.267938
1778380699,1105,50,4096,11008,32,32,0.106496,0.994304,0.138672,0.521253,0.354592,0.038912,0.859136,0.893952,3.907317,125.034149,7.997815
1778357668,1559,10,4096,11008,32,32,0.032768,0.983040,0.122936,0.068225,0.353888,0.034816,0.851968,0.888832,3.336473,106.767136,9.366178
1778359243,1559,10,4096,11008,32,32,0.031744,0.979968,0.123022,0.075512,0.357952,0.034816,0.851968,0.888832,3.343814,107.002045,9.345615
1778365162,3304,50,4096,11008,32,32,0.033792,0.982016,0.119932,0.422127,0.357536,0.036864,0.852992,0.884736,3.689995,118.079842,8.468846
1778378526,1559,10,4096,11008,32,32,0.033792,0.998400,0.095782,0.039101,0.349472,0.031744,0.860160,0.891904,3.300355,105.611359,9.468678
1778378768,390,10,4096,11008,32,32,0.047104,0.988160,0.142008,0.096588,0.363488,0.043008,0.858112,0.901120,3.439588,110.066811,9.085391
1778378999,3942,10,4096,11008,32,32,0.029696,0.982016,0.096002,0.042051,0.348192,0.028672,0.852992,0.887808,3.267429,104.557732,9.564095
1778379205,4257,10,4096,11008,32,32,0.032768,0.983040,0.093433,0.044501,0.350048,0.031744,0.852992,0.889856,3.278382,104.908218,9.532142
1778379436,4312,10,4096,11008,32,32,0.036864,0.990208,0.139158,0.079799,0.356000,0.039936,0.864256,0.886784,3.393005,108.576164,9.210125
1778379668,3304,50,4096,11008,32,32,0.030720,0.987136,0.090740,0.208392,0.346464,0.029696,0.852992,0.889856,3.435996,109.951874,9.094888
1778379881,1144,50,4096,11008,32,32,0.032768,0.997376,0.097943,0.211225,0.350624,0.036864,0.856064,0.888832,3.471696,111.094269,9.001365
1778380139,8112,50,4096,11008,32,32,0.035840,0.987136,0.128118,0.585584,0.354912,0.037888,0.858112,0.901120,3.888710,124.438728,8.036083
1778380417,8496,50,4096,11008,32,32,0.036864,0.989184,0.130307,0.466314,0.369088,0.035840,0.862208,0.889856,3.779661,120.949142,8.267938
1778380699,1105,50,4096,11008,32,32,0.106496,0.994304,0.138672,0.521253,0.354592,0.038912,0.859136,0.893952,3.907317,125.034149,7.997815
1778380940,6575,100,4096,11008,32,32,0.032768,0.978944,0.093781,0.411917,0.352320,0.032768,0.852992,0.887808,3.643298,116.585533,8.577394
1778357668,1559,10,4096,11008,32,32,0.032768,0.983040,0.122936,0.068225,0.353888,0.034816,0.851968,0.888832,3.336473,106.767136,9.366178
1778359243,1559,10,4096,11008,32,32,0.031744,0.979968,0.123022,0.075512,0.357952,0.034816,0.851968,0.888832,3.343814,107.002045,9.345615
1778365162,3304,50,4096,11008,32,32,0.033792,0.982016,0.119932,0.422127,0.357536,0.036864,0.852992,0.884736,3.689995,118.079842,8.468846
1778378526,1559,10,4096,11008,32,32,0.033792,0.998400,0.095782,0.039101,0.349472,0.031744,0.860160,0.891904,3.300355,105.611359,9.468678
1778378768,390,10,4096,11008,32,32,0.047104,0.988160,0.142008,0.096588,0.363488,0.043008,0.858112,0.901120,3.439588,110.066811,9.085391
1778378999,3942,10,4096,11008,32,32,0.029696,0.982016,0.096002,0.042051,0.348192,0.028672,0.852992,0.887808,3.267429,104.557732,9.564095
1778379205,4257,10,4096,11008,32,32,0.032768,0.983040,0.093433,0.044501,0.350048,0.031744,0.852992,0.889856,3.278382,104.908218,9.532142
1778379436,4312,10,4096,11008,32,32,0.036864,0.990208,0.139158,0.079799,0.356000,0.039936,0.864256,0.886784,3.393005,108.576164,9.210125
1778379668,3304,50,4096,11008,32,32,0.030720,0.987136,0.090740,0.208392,0.346464,0.029696,0.852992,0.889856,3.435996,109.951874,9.094888
1778379881,1144,50,4096,11008,32,32,0.032768,0.997376,0.097943,0.211225,0.350624,0.036864,0.856064,0.888832,3.471696,111.094269,9.001365
1778380139,8112,50,4096,11008,32,32,0.035840,0.987136,0.128118,0.585584,0.354912,0.037888,0.858112,0.901120,3.888710,124.438728,8.036083
1778380417,8496,50,4096,11008,32,32,0.036864,0.989184,0.130307,0.466314,0.369088,0.035840,0.862208,0.889856,3.779661,120.949142,8.267938
1778380699,1105,50,4096,11008,32,32,0.106496,0.994304,0.138672,0.521253,0.354592,0.038912,0.859136,0.893952,3.907317,125.034149,7.997815
1778380940,6575,100,4096,11008,32,32,0.032768,0.978944,0.093781,0.411917,0.352320,0.032768,0.852992,0.887808,3.643298,116.585533,8.577394
1778381166,1021,100,4096,11008,32,32,0.033792,0.985088,0.100563,0.402201,0.351232,0.033792,0.855040,0.888832,3.650540,116.817291,8.560376
1778357668,1559,10,4096,11008,32,32,0.032768,0.983040,0.122936,0.068225,0.353888,0.034816,0.851968,0.888832,3.336473,106.767136,9.366178
1778359243,1559,10,4096,11008,32,32,0.031744,0.979968,0.123022,0.075512,0.357952,0.034816,0.851968,0.888832,3.343814,107.002045,9.345615
1778365162,3304,50,4096,11008,32,32,0.033792,0.982016,0.119932,0.422127,0.357536,0.036864,0.852992,0.884736,3.689995,118.079842,8.468846
1778378526,1559,10,4096,11008,32,32,0.033792,0.998400,0.095782,0.039101,0.349472,0.031744,0.860160,0.891904,3.300355,105.611359,9.468678
1778378768,390,10,4096,11008,32,32,0.047104,0.988160,0.142008,0.096588,0.363488,0.043008,0.858112,0.901120,3.439588,110.066811,9.085391
